,age,sex,state,location,education,employment,marital status,health centers have ability to test COVID-19?,available vaccine,time to get result,no of patients,concerns,challenges,factor to get vaccine,cost,which vaccine,willingness
0,0,0,7,2,2,4,2,2,1,0,1,5,1,14,2,2,1
1,0,0,8,1,1,4,2,2,2,2,0,4,15,2,2,3,0
2,0,1,7,2,2,4,2,2,1,4,3,1,2,14,2,2,1
3,0,0,7,2,2,4,2,0,1,6,0,4,15,16,2,3,0
4,0,0,7,2,2,4,2,2,2,2,2,5,13,26,0,2,1
5,0,0,17,2,2,4,2,2,1,1,0,5,2,6,2,0,1
6,0,1,8,0,2,4,2,2,2,0,0,4,31,9,2,0,1
7,0,1,7,2,1,0,2,2,2,2,2,8,25,31,2,3,0
8,1,1,8,0,1,4,2,2,2,0,0,7,2,2,0,3,0
9,0,0,8,1,2,4,2,2,2,2,3,4,15,16,2,2,1
10,0,1,15,2,1,4,2,0,0,6,0,5,8,11,2,3,0
11,0,1,8,1,2,4,2,2,1,6,0,4,8,2,2,3,1
12,0,1,8,0,1,0,2,2,1,4,3,4,2,14,2,0,1
13,1,1,8,0,3,2,0,0,2,6,3,13,2,31,1,3,1
14,0,1,8,0,2,4,2,2,0,4,3,5,29,18,2,1,1
15,0,0,7,2,1,0,2,2,2,4,0,1,8,3,2,3,1
16,0,0,16,2,2,4,2,2,2,0,0,4,2,2,0,2,1
17,0,0,8,1,1,4,2,2,1,4,1,4,9,14,2,0,1
18,0,1,11,2,1,4,2,2,1,0,3,5,2,16,2,0,1
19,0,1,8,0,1,3,2,2,2,6,3,4,2,2,2,0,1
20,0,1,13,2,1,4,2,2,0,1,0,6,2,6,2,3,0
21,0,1,8,1,2,4,2,2,1,2,3,13,2,16,2,2,1
22,0,0,8,2,1,4,2,2,2,0,0,4,2,2,1,2,1
23,0,0,10,1,1,0,2,2,1,2,2,4,0,33,2,2,1
24,0,1,8,0,1,4,2,2,0,0,0,13,10,16,0,2,1
25,0,1,7,2,1,4,2,2,1,2,0,4,2,4,2,0,1
26,0,0,7,2,1,4,2,2,1,6,0,4,2,21,2,0,1
27,0,0,7,1,2,4,2,2,2,6,0,6,19,25,2,3,0
28,0,0,7,2,1,4,2,2,0,1,0,4,5,9,2,0,1
29,0,0,10,1,1,4,2,2,1,2,0,4,8,2,2,2,1
30,0,0,7,1,2,4,2,2,1,4,0,4,2,2,1,2,1
31,0,0,8,1,2,4,2,2,0,2,3,4,2,2,0,2,1
32,0,0,7,2,1,4,2,2,0,2,3,13,2,14,2,2,1
33,0,1,15,1,1,4,2,2,1,4,0,4,6,24,0,1,1
34,0,1,10,2,2,4,2,2,1,0,0,1,27,2,0,2,1
35,0,1,8,1,1,4,2,2,1,6,3,4,2,14,2,0,1
36,0,0,8,2,2,4,2,2,2,6,3,4,8,16,2,0,1
37,0,0,7,0,1,4,2,2,2,6,0,4,2,32,2,2,1
38,0,0,8,1,1,4,2,2,1,6,3,4,2,24,2,0,1
39,0,0,7,2,1,4,2,2,2,5,1,1,2,33,2,3,0
40,0,1,8,2,1,4,2,2,2,2,2,4,0,2,0,0,1
41,0,1,7,2,1,4,2,2,2,1,3,4,2,25,2,3,0
42,0,1,8,2,1,4,2,2,2,4,3,4,8,2,2,3,0
43,0,0,17,2,1,4,2,2,2,1,3,4,15,33,2,0,1
44,0,0,8,1,2,4,2,2,0,6,0,5,9,2,0,1,1
45,0,0,7,2,2,4,2,2,2,2,3,4,2,14,2,0,1
46,0,1,7,1,1,4,2,2,1,2,1,5,31,12,0,0,0
47,0,1,8,1,1,4,2,2,2,2,1,4,2,17,2,0,1
48,0,1,10,0,1,4,2,2,1,4,3,13,9,14,2,2,1
49,0,0,7,2,2,4,2,2,2,6,0,4,2,2,0,1,0
50,0,1,15,1,2,4,2,2,2,2,0,5,2,16,1,0,1
